SpotX,SpotY,ItemID,ItemWidth,ItemHeight,hasItem
0,0,0,0,0,null
0,40,0,0,0,null
0,80,0,0,0,null
0,120,0,0,0,null
0,160,0,0,0,null
0,200,0,0,0,null
0,240,0,0,0,null
0,280,0,0,0,null
0,320,0,0,0,null
0,360,0,0,0,null
0,400,0,0,0,null
0,440,0,0,0,null
0,480,0,0,0,null
0,520,0,0,0,null
0,560,0,0,0,null
0,600,0,0,0,null
0,640,0,0,0,null
0,680,0,0,0,null
0,720,0,0,0,null
0,760,0,0,0,null
0,800,0,0,0,null
0,840,0,0,0,null
0,880,0,0,0,null
0,920,0,0,0,null
0,960,0,0,0,null
0,1000,0,0,0,null
0,1040,0,0,0,null
0,1080,0,0,0,null
0,1120,0,0,0,null
0,1160,0,0,0,null
0,1200,0,0,0,null
0,1240,0,0,0,null
0,1280,0,0,0,null
0,1320,0,0,0,null
0,1360,0,0,0,null
0,1400,0,0,0,null
0,1440,0,0,0,null
0,1480,0,0,0,null
0,1520,0,0,0,null
0,1560,0,0,0,null
0,1600,0,0,0,null
0,1640,0,0,0,null
0,1680,0,0,0,null
0,1720,0,0,0,null
0,1760,0,0,0,null
40,0,0,0,0,null
40,40,0,0,0,null
40,80,0,0,0,null
40,120,0,0,0,null
40,160,0,0,0,null
40,200,0,0,0,null
40,240,0,0,0,null
40,280,0,0,0,null
40,320,0,0,0,null
40,360,0,0,0,null
40,400,0,0,0,null
40,440,0,0,0,null
40,480,0,0,0,null
40,520,0,0,0,null
40,560,0,0,0,null
40,600,0,0,0,null
40,640,0,0,0,null
40,680,0,0,0,null
40,720,0,0,0,null
40,760,0,0,0,null
40,800,0,0,0,null
40,840,0,0,0,null
40,880,0,0,0,null
40,920,0,0,0,null
40,960,0,0,0,null
40,1000,0,0,0,null
40,1040,0,0,0,null
40,1080,0,0,0,null
40,1120,0,0,0,null
40,1160,0,0,0,null
40,1200,0,0,0,null
40,1240,0,0,0,null
40,1280,0,0,0,null
40,1320,0,0,0,null
40,1360,0,0,0,null
40,1400,0,0,0,null
40,1440,0,0,0,null
40,1480,0,0,0,null
40,1520,0,0,0,null
